2020-01-01	Wednesday	15	카페/디저트	66	맑음 추움
2020-01-01	Wednesday	15	패스트푸드	37	맑음 추움
2020-01-01	Wednesday	15	피자	34	맑음 추움
2020-01-01	Wednesday	15	한식	33	맑음 추움
2020-01-01	Wednesday	15	회	4	맑음 추움
2020-01-01	Wednesday	16	돈까스/일식	10	맑음 추움
2020-01-01	Wednesday	16	분식	60	맑음 추움
2020-01-01	Wednesday	16	아시안/양식	9	맑음 추움
2020-01-01	Wednesday	16	야식	17	맑음 추움
2020-01-01	Wednesday	16	족발/보쌈	29	맑음 추움
2020-01-01	Wednesday	16	중식	10	맑음 추움
2020-01-01	Wednesday	16	찜탕	13	맑음 추움
2020-01-01	Wednesday	16	치킨	115	맑음 추움
2020-01-01	Wednesday	16	카페/디저트	60	맑음 추움
2020-01-01	Wednesday	16	패스트푸드	40	맑음 추움
2020-01-01	Wednesday	16	피자	40	맑음 추움
2020-01-01	Wednesday	16	한식	40	맑음 추움
2020-01-01	Wednesday	16	회	20	맑음 추움
2020-01-01	Wednesday	17	도시락	1	맑음 추움
2020-01-01	Wednesday	17	돈까스/일식	17	맑음 추움
2020-01-01	Wednesday	17	분식	84	맑음 추움
2020-01-01	Wednesday	17	아시안/양식	26	맑음 추움
2020-01-01	Wednesday	17	야식	37	맑음 추움
2020-01-01	Wednesday	17	족발/보쌈	76	맑음 추움
2020-01-01	Wednesday	17	중식	16	맑음 추움
2020-01-01	Wednesday	17	찜탕	23	맑음 추움
2020-01-01	Wednesday	17	치킨	193	맑음 추움
2020-01-01	Wednesday	17	카페/디저트	70	맑음 추움
2020-01-01	Wednesday	17	패스트푸드	43	맑음 추움
2020-01-01	Wednesday	17	피자	72	맑음 추움
2020-01-01	Wednesday	17	한식	56	맑음 추움
2020-01-01	Wednesday	17	회	22	맑음 추움
2020-01-01	Wednesday	18	돈까스/일식	19	맑음 추움
2020-01-01	Wednesday	18	분식	112	맑음 추움
2020-01-01	Wednesday	18	아시안/양식	31	맑음 추움
2020-01-01	Wednesday	18	야식	30	맑음 추움
2020-01-01	Wednesday	18	족발/보쌈	82	맑음 추움
2020-01-01	Wednesday	18	중식	22	맑음 추움
2020-01-01	Wednesday	18	찜탕	18	맑음 추움
