2020-03-25,금천구,1
2020-03-25,동작구,2
2020-03-25,서초구,3
2020-03-26,강남구,4
2020-03-26,강동구,1
2020-03-26,구로구,2
2020-03-26,금천구,1
2020-03-26,서초구,1
2020-03-26,성북구,1
2020-03-26,송파구,2
2020-03-26,용산구,1
2020-03-26,중랑구,1
2020-03-27,강남구,2
2020-03-27,관악구,1
2020-03-27,구로구,1
2020-03-27,금천구,1
2020-03-27,도봉구,1
2020-03-27,마포구,1
2020-03-27,성북구,1
2020-03-27,송파구,1
2020-03-27,영등포구,1
2020-03-27,중구,1
2020-03-27,중랑구,2
2020-03-28,강남구,5
2020-03-28,관악구,1
2020-03-28,구로구,4
2020-03-28,동작구,3
2020-03-28,서초구,4
2020-03-28,송파구,1
2020-03-28,양천구,1
2020-03-28,중구,1
2020-03-29,강남구,4
2020-03-29,관악구,3
2020-03-29,광진구,1
2020-03-29,구로구,1
2020-03-29,금천구,4
2020-03-29,도봉구,1
2020-03-29,동작구,2
2020-03-29,마포구,1
2020-03-29,서대문구,1
2020-03-29,서초구,1
2020-03-29,송파구,1
2020-03-30,강동구,1
2020-03-30,관악구,4
2020-03-30,구로구,2
2020-03-30,동작구,2
2020-03-30,서초구,2
2020-03-30,송파구,1
2020-03-30,용산구,4
2020-03-30,중구,1
2020-03-31,강남구,3
2020-03-31,관악구,6
2020-03-31,광진구,1
2020-03-31,구로구,1
2020-03-31,동작구,1
2020-03-31,마포구,2
2020-03-31,서초구,1
2020-03-31,송파구,2
2020-03-31,양천구,1
2020-03-31,영등포구,1
2020-03-31,종로구,2
2020-03-31,중구,1
2020-04-01,광진구,1
2020-04-01,동대문구,1
2020-04-01,동작구,1
2020-04-01,마포구,1
2020-04-01,서대문구,1
2020-04-01,서초구,2
2020-04-01,송파구,1
2020-04-01,양천구,1
2020-04-01,영등포구,1
2020-04-02,강남구,2
2020-04-02,강동구,1
2020-04-02,관악구,3
2020-04-02,구로구,1
2020-04-02,노원구,1
2020-04-02,마포구,1
2020-04-02,서초구,2
2020-04-02,성동구,1
2020-04-02,양천구,1
2020-04-02,용산구,2
2020-04-02,은평구,2
2020-04-02,종로구,1
2020-04-02,중랑구,1
2020-04-03,강남구,5
2020-04-03,강동구,1
2020-04-03,노원구,1
2020-04-03,도봉구,1
2020-04-03,동대문구,1
2020-04-03,동작구,3
2020-04-03,서대문구,1
2020-04-03,서초구,2
2020-04-03,송파구,4
2020-04-03,은평구,1
2020-04-04,강남구,2
2020-04-04,강서구,1
2020-04-04,관악구,2
2020-04-04,동대문구,2
2020-04-04,마포구,1
2020-04-04,서대문구,2
2020-04-04,성북구,1
2020-04-04,송파구,3
2020-04-04,영등포구,1
2020-04-04,용산구,1
2020-04-04,은평구,2
2020-04-04,중랑구,1
2020-04-05,강동구,1
2020-04-05,강서구,1
2020-04-05,관악구,1
2020-04-05,성북구,2
