2019-08-04,영등포구,신길동,784
2019-08-04,영등포구,영등포동,170
2019-08-04,영등포구,영등포동1가,57
2019-08-04,은평구,갈현동,504
2019-08-04,은평구,구산동,3
2019-08-04,은평구,대조동,76
2019-08-04,은평구,불광동,12
2019-08-04,은평구,신사동,9
2019-08-04,은평구,역촌동,39
2019-08-05,강북구,미아동,17
2019-08-05,강서구,가양동,31
2019-08-05,강서구,공항동,18
2019-08-05,강서구,내발산동,17
2019-08-05,강서구,등촌동,20
2019-08-05,강서구,마곡동,10
2019-08-05,강서구,방화동,20
2019-08-05,강서구,염창동,13
2019-08-05,강서구,화곡동,171
2019-08-05,구로구,개봉동,732
2019-08-05,구로구,고척동,436
2019-08-05,구로구,구로동,181
2019-08-05,구로구,궁동,32
2019-08-05,구로구,오류동,357
2019-08-05,구로구,온수동,39
2019-08-05,구로구,천왕동,29
2019-08-05,금천구,독산동,64
2019-08-05,노원구,상계동,49
2019-08-05,도봉구,도봉동,75
2019-08-05,도봉구,방학동,82
2019-08-05,도봉구,쌍문동,35
2019-08-05,도봉구,창동,163
2019-08-05,동작구,대방동,15
2019-08-05,동작구,신대방동,4
2019-08-05,마포구,망원동,27
2019-08-05,서대문구,홍은동,11
2019-08-05,성북구,길음동,21
2019-08-05,성북구,정릉동,76
2019-08-05,양천구,목동,125
2019-08-05,양천구,신월동,34
2019-08-05,양천구,신정동,53
2019-08-05,영등포구,대림동,241
2019-08-05,영등포구,신길동,404
2019-08-05,영등포구,영등포동,101
2019-08-05,영등포구,영등포동1가,32
2019-08-05,은평구,갈현동,386
2019-08-05,은평구,대조동,138
2019-08-05,은평구,불광동,8
2019-08-05,은평구,신사동,16
2019-08-05,은평구,역촌동,27
2019-08-06,강북구,미아동,20
2019-08-06,강서구,가양동,22
2019-08-06,강서구,공항동,16
2019-08-06,강서구,내발산동,33
2019-08-06,강서구,등촌동,29
2019-08-06,강서구,마곡동,6
2019-08-06,강서구,방화동,16
2019-08-06,강서구,염창동,6
2019-08-06,강서구,화곡동,176
2019-08-06,구로구,개봉동,621
2019-08-06,구로구,고척동,542
2019-08-06,구로구,구로동,123
2019-08-06,구로구,궁동,29
2019-08-06,구로구,오류동,419
2019-08-06,구로구,온수동,26
2019-08-06,구로구,천왕동,22
2019-08-06,금천구,독산동,42
2019-08-06,노원구,상계동,29
2019-08-06,도봉구,도봉동,75
2019-08-06,도봉구,방학동,144
2019-08-06,도봉구,쌍문동,88
2019-08-06,도봉구,창동,136
2019-08-06,동작구,대방동,8
2019-08-06,마포구,망원동,18
2019-08-06,서대문구,홍은동,7
2019-08-06,성북구,길음동,16
2019-08-06,성북구,정릉동,76
2019-08-06,양천구,목동,123
2019-08-06,양천구,신월동,20
2019-08-06,양천구,신정동,49
2019-08-06,영등포구,대림동,216
2019-08-06,영등포구,도림동,6
2019-08-06,영등포구,신길동,440
2019-08-06,영등포구,영등포동,98
2019-08-06,영등포구,영등포동1가,39
2019-08-06,은평구,갈현동,318
2019-08-06,은평구,대조동,132
2019-08-06,은평구,불광동,13
2019-08-06,은평구,신사동,8
2019-08-06,은평구,역촌동,19
2019-08-07,강북구,미아동,25
2019-08-07,강서구,가양동,23
2019-08-07,강서구,공항동,15
2019-08-07,강서구,내발산동,21
2019-08-07,강서구,등촌동,28
2019-08-07,강서구,마곡동,14
2019-08-07,강서구,방화동,21
2019-08-07,강서구,염창동,17
2019-08-07,강서구,화곡동,249
2019-08-07,구로구,개봉동,602
2019-08-07,구로구,고척동,487
2019-08-07,구로구,구로동,177
2019-08-07,구로구,궁동,22
2019-08-07,구로구,오류동,357
2019-08-07,구로구,온수동,26
2019-08-07,구로구,천왕동,26
2019-08-07,금천구,독산동,51
2019-08-07,노원구,상계동,36
2019-08-07,도봉구,도봉동,54
2019-08-07,도봉구,방학동,152
2019-08-07,도봉구,쌍문동,66
2019-08-07,도봉구,창동,97
2019-08-07,동작구,대방동,8
2019-08-07,동작구,신대방동,11
2019-08-07,마포구,망원동,21
2019-08-07,마포구,연남동,1
2019-08-07,서대문구,홍은동,4
2019-08-07,성북구,길음동,24
2019-08-07,성북구,동소문동1가,5
2019-08-07,성북구,정릉동,71
2019-08-07,양천구,목동,108
2019-08-07,양천구,신월동,26
2019-08-07,양천구,신정동,70
2019-08-07,영등포구,대림동,175
2019-08-07,영등포구,도림동,10
2019-08-07,영등포구,신길동,486
2019-08-07,영등포구,영등포동,100
2019-08-07,영등포구,영등포동1가,30
2019-08-07,은평구,갈현동,229
2019-08-07,은평구,구산동,3
2019-08-07,은평구,대조동,129
2019-08-07,은평구,불광동,11
2019-08-07,은평구,신사동,27
2019-08-07,은평구,역촌동,14
2019-08-08,강북구,미아동,22
2019-08-08,강서구,가양동,20
2019-08-08,강서구,공항동,13
2019-08-08,강서구,내발산동,23
2019-08-08,강서구,등촌동,38
2019-08-08,강서구,마곡동,20
2019-08-08,강서구,방화동,26
2019-08-08,강서구,염창동,13
2019-08-08,강서구,화곡동,260
2019-08-08,구로구,개봉동,686
2019-08-08,구로구,고척동,448
2019-08-08,구로구,구로동,177
2019-08-08,구로구,궁동,25
2019-08-08,구로구,오류동,329
2019-08-08,구로구,온수동,32
2019-08-08,구로구,천왕동,33
2019-08-08,금천구,독산동,32
2019-08-08,노원구,상계동,36
2019-08-08,도봉구,도봉동,62
2019-08-08,도봉구,방학동,149
2019-08-08,도봉구,쌍문동,59
2019-08-08,도봉구,창동,144
2019-08-08,동작구,대방동,12
2019-08-08,동작구,신대방동,5
2019-08-08,마포구,망원동,19
2019-08-08,서대문구,홍은동,9
2019-08-08,성북구,길음동,31
2019-08-08,성북구,동소문동1가,28
2019-08-08,성북구,정릉동,80
2019-08-08,양천구,목동,131
2019-08-08,양천구,신월동,32
2019-08-08,양천구,신정동,62
2019-08-08,영등포구,대림동,187
2019-08-08,영등포구,도림동,7
2019-08-08,영등포구,신길동,466
2019-08-08,영등포구,영등포동,100
2019-08-08,영등포구,영등포동1가,30
2019-08-08,은평구,갈현동,275
2019-08-08,은평구,구산동,2
2019-08-08,은평구,대조동,130
2019-08-08,은평구,불광동,8
2019-08-08,은평구,신사동,20
2019-08-08,은평구,역촌동,18
2019-08-09,강북구,미아동,25
2019-08-09,강서구,가양동,125
2019-08-09,강서구,공항동,21
2019-08-09,강서구,내발산동,69
2019-08-09,강서구,등촌동,35
2019-08-09,강서구,마곡동,30
2019-08-09,강서구,방화동,48
2019-08-09,강서구,염창동,54
2019-08-09,강서구,화곡동,288
2019-08-09,구로구,개봉동,819
2019-08-09,구로구,고척동,505
2019-08-09,구로구,구로동,193
2019-08-09,구로구,궁동,33
2019-08-09,구로구,오류동,515
2019-08-09,구로구,온수동,39
2019-08-09,구로구,천왕동,41
2019-08-09,금천구,독산동,30
2019-08-09,노원구,상계동,83
2019-08-09,도봉구,도봉동,72
2019-08-09,도봉구,방학동,160
2019-08-09,도봉구,쌍문동,81
2019-08-09,도봉구,창동,158
2019-08-09,동작구,대방동,24
2019-08-09,동작구,신대방동,10
2019-08-09,마포구,망원동,50
2019-08-09,마포구,연남동,1
2019-08-09,서대문구,홍은동,8
2019-08-09,성북구,길음동,30
2019-08-09,성북구,동소문동1가,66
2019-08-09,성북구,정릉동,85
2019-08-09,양천구,목동,251
2019-08-09,양천구,신월동,75
