2019-08-14,은평구,445,0
2019-08-15,강북구,16,0
2019-08-15,강서구,243,0
2019-08-15,구로구,2440,0
2019-08-15,금천구,115,0
2019-08-15,노원구,34,0
2019-08-15,도봉구,610,0
2019-08-15,동작구,45,0
2019-08-15,마포구,60,0
2019-08-15,서대문구,3,0
2019-08-15,성북구,53,0
2019-08-15,양천구,173,0
2019-08-15,영등포구,1079,0
2019-08-15,은평구,614,0
2019-08-16,강북구,1,0
2019-08-16,강서구,211,0
2019-08-16,구로구,1785,0
2019-08-16,금천구,50,0
2019-08-16,노원구,18,0
2019-08-16,도봉구,389,0
2019-08-16,동작구,27,0
2019-08-16,마포구,50,0
2019-08-16,서대문구,3,0
2019-08-16,성북구,38,0
2019-08-16,양천구,84,0
2019-08-16,영등포구,770,0
2019-08-16,은평구,466,0
2019-08-17,강북구,4,0
2019-08-17,강서구,221,0
2019-08-17,구로구,2004,0
2019-08-17,금천구,69,0
2019-08-17,노원구,17,0
2019-08-17,도봉구,448,0
2019-08-17,동작구,35,0
2019-08-17,마포구,60,0
2019-08-17,서대문구,3,0
2019-08-17,성북구,48,0
2019-08-17,송파구,22,0
2019-08-17,양천구,97,0
2019-08-17,영등포구,952,0
2019-08-17,은평구,564,0
2019-08-18,강북구,4,0
2019-08-18,강서구,268,0
2019-08-18,구로구,2116,0
2019-08-18,금천구,92,0
2019-08-18,노원구,27,0
2019-08-18,도봉구,372,0
2019-08-18,동작구,41,0
2019-08-18,마포구,40,0
2019-08-18,서대문구,7,0
2019-08-18,성북구,39,0
2019-08-18,송파구,42,0
2019-08-18,양천구,113,0
2019-08-18,영등포구,1023,0
2019-08-18,은평구,509,0
2019-08-19,강북구,2,0
2019-08-19,강서구,140,0
2019-08-19,구로구,1313,0
2019-08-19,금천구,41,0
2019-08-19,노원구,22,0
2019-08-19,도봉구,202,0
2019-08-19,동작구,20,0
2019-08-19,마포구,24,0
2019-08-19,서대문구,2,0
2019-08-19,성북구,30,0
2019-08-19,송파구,28,0
2019-08-19,양천구,100,0
2019-08-19,영등포구,542,0
2019-08-19,은평구,444,0
2019-08-20,강북구,19,0
2019-08-20,강서구,115,0
2019-08-20,구로구,1417,0
2019-08-20,금천구,38,0
2019-08-20,노원구,8,0
2019-08-20,도봉구,326,0
2019-08-20,동작구,22,0
2019-08-20,마포구,9,0
2019-08-20,서대문구,6,0
2019-08-20,성북구,90,0
2019-08-20,송파구,81,0
2019-08-20,양천구,79,0
2019-08-20,영등포구,571,0
2019-08-20,은평구,344,0
2019-08-21,강북구,3,0
2019-08-21,강서구,124,0
2019-08-21,구로구,1542,0
2019-08-21,금천구,45,0
2019-08-21,노원구,9,0
2019-08-21,도봉구,363,0
2019-08-21,동작구,12,0
2019-08-21,마포구,21,0
2019-08-21,서대문구,4,0
2019-08-21,성북구,26,0
2019-08-21,송파구,17,0
2019-08-21,양천구,65,0
2019-08-21,영등포구,609,0
2019-08-21,은평구,336,0
2019-08-22,강북구,7,0
2019-08-22,강서구,146,0
2019-08-22,구로구,1437,0
2019-08-22,금천구,27,0
2019-08-22,노원구,21,0
2019-08-22,도봉구,288,0
2019-08-22,동작구,29,0
2019-08-22,마포구,20,0
2019-08-22,서대문구,4,0
2019-08-22,성북구,39,0
2019-08-22,송파구,30,0
2019-08-22,양천구,86,0
2019-08-22,영등포구,640,0
2019-08-22,은평구,316,0
2019-08-23,강북구,2,0
2019-08-23,강서구,164,0
2019-08-23,구로구,1626,0
2019-08-23,금천구,28,0
2019-08-23,노원구,14,0
2019-08-23,도봉구,347,0
2019-08-23,동작구,24,0
2019-08-23,마포구,79,0
2019-08-23,서대문구,3,0
2019-08-23,성북구,31,0
2019-08-23,송파구,21,0
2019-08-23,양천구,82,0
2019-08-23,영등포구,734,0
2019-08-23,은평구,433,0
2019-08-24,강북구,6,0
2019-08-24,강서구,165,0
2019-08-24,구로구,1989,0
2019-08-24,금천구,66,0
2019-08-24,노원구,21,0
2019-08-24,도봉구,474,0
2019-08-24,동작구,32,0
2019-08-24,마포구,36,0
2019-08-24,서대문구,5,0
2019-08-24,성북구,45,0
2019-08-24,송파구,27,0
2019-08-24,양천구,122,0
2019-08-24,영등포구,970,0
2019-08-24,은평구,577,0
2019-08-25,강북구,8,0
2019-08-25,강서구,272,0
2019-08-25,구로구,2180,0
2019-08-25,금천구,87,0
2019-08-25,노원구,27,0
2019-08-25,도봉구,403,0
2019-08-25,동작구,45,0
2019-08-25,마포구,44,0
2019-08-25,서대문구,12,0
2019-08-25,성북구,40,0
2019-08-25,송파구,22,0
2019-08-25,양천구,169,0
2019-08-25,영등포구,1109,0
2019-08-25,은평구,495,0
2019-08-26,강북구,2,0
2019-08-26,강서구,121,0
2019-08-26,구로구,1300,0
2019-08-26,금천구,49,0
2019-08-26,노원구,9,0
2019-08-26,도봉구,193,0
2019-08-26,동작구,15,0
2019-08-26,마포구,51,0
2019-08-26,서대문구,1,0
2019-08-26,성북구,15,0
2019-08-26,송파구,25,0
2019-08-26,양천구,90,0
2019-08-26,영등포구,619,0
2019-08-26,은평구,470,0
2019-08-27,강남구,6,0
2019-08-27,강북구,4,0
2019-08-27,강서구,115,0
2019-08-27,구로구,1385,0
2019-08-27,금천구,41,0
2019-08-27,노원구,8,0
2019-08-27,도봉구,320,0
2019-08-27,동작구,23,0
2019-08-27,마포구,24,0
2019-08-27,서대문구,6,0
2019-08-27,성북구,28,0
2019-08-27,송파구,24,0
2019-08-27,양천구,73,0
2019-08-27,영등포구,571,0
2019-08-27,은평구,416,0
2019-08-28,강남구,1,0
2019-08-28,강북구,2,0
2019-08-28,강서구,99,0
2019-08-28,구로구,1464,0
2019-08-28,금천구,40,0
2019-08-28,노원구,8,0
2019-08-28,도봉구,336,0
2019-08-28,동작구,14,0
2019-08-28,마포구,29,0
2019-08-28,서대문구,4,0
2019-08-28,성북구,28,0
